"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
105,047,2,82,16,44,4,647,724,71,004,070,93,"N","W",24,022,09,708,"N"
738,82,9,41,47,6,8,285,067,47,002,032,80,"A","E",89,1,1,712.8,"A"
817,013,07,15,28,10,05,2366,7043,748,692,0396,140,"A","E",562,50,6,NA,"A"
875,015,04,20,23,91,5,7519,208,22,487,417,796,"N","W",434,6,6,908,"N"
182,030,01,17,54,77,02,5870,0252,790,0334,622,506,"A","W",496,46,1,928,"A"
701,84,7,43,76,74,7,775,86,7,47,47,72,"N","E",036,2,4,23,"N"
06,2,3,0,7,0,1,10,04,0,4,1,1,"A","E",3,3,3,NA,"A"
860,059,06,93,27,46,6,1129,0432,004,541,854,406,"A","W",52,012,1,0733,"A"
134,030,07,18,84,46,07,8083,0176,055,212,555,875,"A","E",405,5,8,528,"A"
138,037,09,16,98,73,5,683,740,76,66,049,51,"N","W",050,03,4,108,"N"
711,89,6,79,78,48,1,0448,444,16,051,026,061,"N","W",017,01,7,413,"N"
748,50,4,71,46,70,01,4675,0376,48,110,130,444,"A","E",178,14,1,NA,"A"
404,29,5,47,10,07,07,4217,659,48,136,470,023,"N","W",035,735,2,105.552,"N"
572,022,78,69,90,23,5,4703,672,044,876,127,404,"A","E",713,197,04,0483,"A"
105,004,71,89,56,05,0,105,004,71,89,56,05,"A","E",734,23,03,63,"A"
088,11,5,70,74,08,05,5540,0541,69,569,550,222,"N","E",84,99,4,728,"N"
745,85,3,72,08,00,1,0008,723,0,005,51,82,"A","W",078,066,04,743,"A"
705,84,0,40,08,77,1,675,703,6,009,56,001,"N","W",24,087,00,778,"N"
71,4,3,0,3,7,4,086,79,3,73,07,6,"A","W",93,1,3,NA,"A"
898,046,40,64,61,57,02,2815,0697,408,0010,0026,272,"A","E",3,3,3,683,"A"
060,42,1,07,02,01,1,224,054,05,50,21,87,"N","E",460,49,9,NA,"N"
066,84,8,76,77,70,4,801,073,9,82,13,46,"A","W",087,4,8,28,"A"
870,017,73,52,95,18,1,908,738,77,66,034,29,"A","E",032,717,74,038,"A"
106,004,0,11,72,11,07,1191,0740,47,507,411,177,"A","E",700,7,0,NA,"A"
400,90,4,17,43,75,02,9712,7069,033,683,636,563,"N","W",084,774,03,473,"N"
049,40,9,09,70,49,4,711,84,07,44,47,88,"N","E",711,70,1,NA,"N"
807,040,75,56,65,87,01,8412,0462,770,207,908,819,"A","W",006,705,07,983,"A"
832,077,76,29,98,60,09,2250,0612,412,0028,0087,0493,"A","E",939,039,7,848,"A"
876,042,75,95,62,62,08,5550,0298,760,0397,616,696,"A","E",793,03,8,644.444,"A"
171,006,5,82,15,04,6,4580,0315,47,150,430,007,"A","E",771,795,9,983,"N"
480,62,1,88,76,46,1,0789,484,05,065,003,002,"N","W",775,2,4,703,"A"
068,88,8,71,44,43,9,0404,449,78,011,016,084,"N","E",94,7,0,NA,"N"
499,034,08,86,12,46,5,7021,888,93,798,721,095,"A","W",097,6,1,478,"A"
446,65,1,42,76,74,1,0351,763,00,074,039,88,"A","W",031,704,6,728,"A"
850,009,48,23,61,44,05,5522,0828,117,630,0703,539,"A","W",154,47,9,NA,"A"
788,23,2,16,48,14,08,5400,0550,081,0306,539,973,"N","E",80,81,9,183,"N"
522,749,40,002,004,84,8,7774,242,64,416,130,020,"A","E",0422,033,5,0628,"A"
772,15,2,74,73,07,8,0478,471,11,085,089,52,"A","W",67,7,7,NA,"A"
501,054,76,96,94,28,00,8302,0499,755,904,977,502,"N","W",434,5,5,0633,"N"
476,94,6,83,46,85,6,4979,619,018,828,879,548,"A","W",725,5,7,533,"A"
542,021,40,96,005,85,01,5272,7371,712,629,0364,168,"N","W",729,6,6,0310.552,"N"
793,97,05,11,18,12,7,179,004,78,50,23,54,"A","E",019,1,7,003,"A"
088,10,07,70,76,77,05,8136,0449,090,215,938,928,"A","W",058,6,0,753,"A"
189,001,04,52,82,19,1,0483,769,79,053,074,077,"A","W",715,496,09,128,"A"
401,94,04,46,15,05,8,0182,138,79,085,086,25,"A","W",844,13,1,140.8,"A"
128,074,72,25,64,27,1,0903,120,039,767,414,752,"N","E",775,03,5,0773,"N"
402,29,2,48,48,47,0,402,29,2,48,48,47,"A","E",18,077,75,23,"A"
800,049,78,25,65,50,4,867,051,79,92,003,20,"A","W",082,2,9,018,"A"
729,56,4,71,70,76,9,7326,858,47,789,067,057,"N","W",017,703,03,NA,"N"
497,006,04,81,89,45,07,7044,861,10,792,761,772,"N","W",86,085,6,868,"N"
858,019,71,63,031,22,01,2792,7394,438,0048,0741,260,"A","E",767,6,8,0950.15,"A"
722,20,7,72,76,01,08,8687,0512,53,284,865,786,"N","W",453,47,8,NA,"N"
108,008,72,62,20,59,4,200,091,18,085,006,66,"N","W",721,7,2,433,"N"
171,003,08,23,12,45,2,7043,811,49,448,021,789,"N","W",767,5,4,163,"N"
168,080,02,50,91,29,03,8571,0526,728,991,0308,236,"A","E",0318,99,04,7153,"A"
871,047,6,56,12,81,7,627,753,01,074,67,63,"A","E",707,472,73,NA,"A"
744,16,7,10,74,09,9,0483,445,2,055,077,035,"A","E",037,047,03,428,"A"
468,035,05,19,85,48,03,7434,820,95,755,474,719,"A","E",236,10,2,NA,"A"
462,001,74,52,52,84,04,8896,0547,710,635,675,205,"A","E",711,7,1,NA,"A"
703,42,9,08,06,08,5,661,711,45,032,001,84,"A","E",13,008,08,NA,"A"
173,68,74,88,89,42,4,515,046,40,22,22,50,"N","W",735,03,2,NA,"N"
855,081,77,25,91,14,01,5033,0894,040,214,564,433,"A","W",405,146,03,283,"A"
510,069,40,030,039,10,8,7076,503,67,762,406,002,"A","E",756,02,03,0028,"A"
708,80,1,06,09,00,0,708,80,1,06,09,00,"A","E",005,8,07,23,"A"
110,079,05,23,24,93,01,5528,7368,736,0327,0383,568,"A","W",62,709,05,0833,"A"
478,25,05,44,87,42,8,0835,480,20,068,706,701,"N","W",275,92,4,498,"A"
163,078,71,90,038,57,04,5354,0515,720,912,666,593,"N","E",956,57,9,0678.820,"N"
821,087,40,60,030,51,4,698,753,84,019,024,68,"N","W",0784,000,00,708,"N"
791,51,01,43,17,71,09,2374,0678,419,695,0746,555,"N","E",65,1,1,NA,"N"
865,020,41,60,039,87,5,7957,279,032,450,130,771,"A","W",009,441,70,633,"A"
127,009,07,54,81,43,1,264,092,01,037,93,83,"A","W",779,422,75,088,"A"
794,22,01,18,12,75,05,5913,0603,786,608,0352,815,"A","W",011,5,8,233,"A"
139,61,1,17,45,55,6,4824,955,86,176,458,103,"N","W",797,192,06,848,"N"
472,98,4,43,11,73,9,7013,859,05,705,739,64,"A","E",60,098,07,457.8,"A"
423,65,70,16,15,53,08,5695,0627,740,0323,688,670,"N","E",042,8,6,244.444,"N"
481,22,05,45,88,10,73,9205,7027,491,0027,0752,0382,"N","W",94,021,05,733,"N"
846,046,8,64,89,56,8,0156,456,07,712,075,069,"A","W",157,6,2,133,"A"
413,91,00,57,44,12,8,0805,425,17,791,010,706,"N","E",098,9,1,133,"A"
803,075,7,17,11,48,00,8857,0829,11,234,806,785,"N","W",732,489,73,242.8,"N"
408,86,05,18,45,89,04,1522,0380,759,590,297,562,"A","W",3,3,3,NA,"A"
797,29,04,42,80,76,8,0516,184,24,700,793,049,"A","W",523,82,8,833,"A"
493,073,8,81,80,40,9,4009,633,67,111,106,713,"A","W",742,9,0,533,"A"
891,089,08,23,91,17,8,7489,545,89,758,405,041,"N","E",440,73,1,557.8,"N"
823,056,70,27,99,49,2,4281,0322,013,167,896,754,"A","W",768,08,8,683,"A"
435,031,01,83,89,78,2,7681,977,88,404,422,092,"N","E",005,777,08,283,"N"
773,81,03,43,46,40,8,0098,766,13,018,081,079,"N","E",83,045,73,762.8,"N"
729,23,2,77,42,09,09,2095,7390,063,648,0399,514,"A","W",3,3,3,478,"A"
118,66,0,15,71,76,1,509,076,0,27,40,19,"A","W",729,108,05,92.8,"A"
014,46,8,09,43,08,6,546,080,05,93,62,50,"N","W",049,08,0,028,"N"
098,13,1,74,00,09,4,871,078,2,89,42,12,"N","E",62,7,7,63,"N"
896,023,13,032,039,56,5,7478,541,079,420,425,749,"A","E",459,73,4,0742.8,"A"
414,034,5,19,45,13,08,1449,0064,23,890,170,478,"A","E",700,85,04,143,"A"
791,56,0,44,09,78,8,0132,450,5,046,69,000,"A","E",077,013,8,NA,"N"
149,034,7,58,47,20,7,113,034,7,52,47,20,"A","W",725,2,6,033,"N"
533,011,44,98,002,58,7,565,024,49,030,043,56,"A","W",406,1,01,058,"A"
554,733,76,039,070,47,1,0112,131,82,703,777,59,"A","E",710,9,5,783,"A"
747,88,6,41,74,18,07,1138,0704,061,237,238,578,"N","E",574,48,4,0433,"N"
126,044,03,19,27,88,02,2127,7012,084,693,0347,981,"N","W",742,8,1,224.444,"N"
736,18,3,49,06,17,03,4986,605,74,882,726,129,"A","W",047,738,8,NA,"A"
879,047,70,50,21,10,5,7510,520,62,724,494,775,"N","E",998,038,9,0339.444,"N"
053,46,9,09,40,77,01,7079,814,85,431,759,769,"A","E",44,4,3,728,"A"
866,094,03,93,21,47,8,7197,208,72,443,475,089,"A","E",740,421,09,228,"A"
162,045,2,89,49,75,00,4920,0355,13,183,452,710,"A","E",431,412,03,983,"A"
703,23,04,47,80,79,08,1313,0043,62,811,157,880,"A","E",3,3,3,458,"A"
778,50,8,47,75,75,00,0859,139,78,737,098,782,"A","W",047,6,3,NA,"A"
080,10,1,75,70,06,7,799,59,6,18,46,48,"A","W",79,85,7,68,"A"
729,95,1,44,49,18,0,729,95,1,44,49,18,"N","W",037,1,7,003,"N"
410,68,5,19,17,73,03,7651,939,90,426,179,770,"N","W",089,1,8,033,"N"
842,012,74,89,99,12,03,7211,243,62,437,480,021,"N","E",67,782,73,722.8,"N"
466,037,4,85,41,41,8,523,052,1,96,19,81,"A","W",700,6,4,93,"A"
436,61,8,42,47,75,04,1509,0443,82,505,877,145,"N","E",050,4,4,533,"N"
130,033,7,53,06,79,1,925,749,7,075,11,88,"N","E",064,00,1,NA,"N"
445,64,6,48,15,74,08,8226,0503,079,243,210,162,"A","W",3,3,3,NA,"A"
505,054,72,94,032,47,4,0142,422,58,090,772,97,"A","W",003,439,08,733,"A"
706,12,9,71,75,02,07,0099,795,74,033,078,54,"A","W",753,89,1,NA,"A"
826,021,2,52,29,89,5,4384,993,47,455,442,709,"N","E",793,126,8,582,"N"
058,46,7,04,6,05,4,065,11,7,09,03,09,"A","W",447,06,7,28,"N"
509,733,73,69,003,57,04,2072,7054,480,0031,0796,851,"A","E",443,05,9,7107.8,"A"
782,55,8,40,75,47,01,4603,626,44,809,471,497,"N","W",92,055,01,783,"A"
408,25,04,48,53,78,4,543,080,71,59,61,88,"N","E",169,46,04,088,"N"
860,082,05,63,29,75,1,7373,810,87,403,775,60,"N","E",763,113,78,513,"N"
131,67,00,81,16,09,5,0481,478,43,099,048,54,"A","E",777,8,8,433,"A"
408,24,8,74,42,05,1,183,039,5,49,15,79,"A","W",772,08,4,003,"A"
716,56,5,47,06,73,1,237,736,03,62,19,11,"N","E",034,9,7,NA,"N"
176,60,07,10,17,82,04,8863,0462,94,829,826,511,"A","W",595,15,1,978,"N"
707,81,04,79,11,09,7,744,86,04,40,15,73,"A","E",714,74,8,NA,"A"
184,030,4,15,14,50,4,619,709,5,65,27,60,"N","W",716,111,05,068,"N"
050,14,1,02,75,77,4,232,026,70,22,66,25,"A","W",433,07,7,NA,"A"
091,12,8,73,79,09,00,4472,963,21,106,497,431,"N","W",16,7,3,183,"N"
860,091,73,94,26,49,8,0596,157,13,706,068,97,"N","W",434,07,8,543,"N"
090,89,5,41,74,77,0,090,89,5,41,74,77,"N","W",99,3,4,95.8,"N"
110,009,79,91,95,59,9,7274,283,075,144,173,436,"A","E",063,7,7,0433,"A"
163,083,70,56,89,48,01,5075,0946,070,694,232,533,"A","E",65,8,4,0333,"N"
880,020,04,61,94,61,04,5363,0913,079,656,633,602,"N","E",0066,016,8,0933,"N"
883,012,76,98,60,20,5,7905,908,002,138,121,406,"A","W",0709,031,03,0403,"A"
794,21,1,41,76,77,03,4606,0357,98,838,185,794,"N","W",018,8,2,242.8,"N"
853,050,75,96,65,55,1,0296,123,58,744,753,088,"N","W",447,6,9,578,"N"
479,60,07,80,14,44,7,417,61,07,80,11,44,"N","E",018,86,9,078,"N"
895,086,07,27,26,84,6,4397,993,94,454,122,768,"N","E",090,04,1,0314.444,"N"
834,045,8,57,19,94,03,4174,623,73,139,434,101,"N","W",58,789,9,278,"N"
411,98,71,56,51,99,2,600,701,51,083,085,092,"A","W",3,3,3,433,"A"
593,774,40,006,65,41,4,0679,892,48,757,730,60,"A","W",176,9,5,458,"A"
726,51,3,40,75,43,0,726,51,3,40,75,43,"N","W",032,738,05,28,"N"
191,072,73,55,58,52,2,4335,911,005,145,189,422,"N","E",0740,93,2,0094.444,"N"
140,072,9,22,18,89,7,552,092,6,002,51,99,"N","E",794,9,4,737.8,"N"
794,23,9,44,42,72,07,1126,0777,61,882,194,432,"A","E",085,7,7,778,"A"
160,010,00,22,12,42,08,1760,0713,91,508,143,413,"A","E",746,9,7,878,"A"
066,87,6,75,79,70,5,938,060,43,004,006,92,"N","W",748,77,8,758,"N"
896,016,70,96,95,51,2,4889,679,037,804,120,480,"A","E",420,5,5,292.8,"A"
472,91,77,84,57,49,03,1724,0074,707,822,233,441,"A","E",194,19,5,933,"N"
151,079,79,52,61,87,04,8976,0887,703,213,913,187,"A","W",3,3,3,892.8,"A"
055,41,3,73,04,02,0,055,41,3,73,04,02,"N","E",51,006,6,NA,"N"
449,67,09,17,53,70,4,597,098,45,99,007,83,"A","E",3,3,3,018,"A"
839,015,9,93,11,15,6,4019,608,10,820,796,475,"A","W",718,8,6,NA,"A"
891,082,73,68,24,54,03,1231,0473,64,271,877,825,"A","E",725,170,00,173,"A"
705,81,7,72,78,44,0,705,81,7,72,78,44,"N","W",402,45,0,28,"N"
578,026,1,61,53,58,8,0565,125,07,705,054,055,"A","E",434,183,01,828,"A"
714,84,1,09,75,72,1,984,779,74,030,003,25,"N","E",032,4,4,NA,"N"
196,040,06,22,88,41,2,7380,816,57,433,754,084,"A","W",403,6,6,293,"A"
736,85,07,77,45,06,7,705,89,07,71,42,06,"N","E",730,5,4,63,"N"
132,64,9,12,43,43,7,656,743,01,070,56,59,"N","W",027,402,78,083,"N"
163,019,01,51,29,16,04,4133,0333,004,118,160,430,"A","E",3,3,3,233,"N"
736,86,5,73,42,72,1,991,736,01,55,035,67,"N","E",108,48,4,NA,"N"
117,040,09,59,22,44,5,0105,469,12,703,734,045,"A","E",744,2,2,883,"A"
402,99,4,13,47,06,9,7814,208,79,756,723,009,"A","W",773,05,1,NA,"A"
799,58,9,43,45,72,6,7908,569,88,408,478,096,"N","E",786,43,03,583,"A"
736,81,4,78,01,07,0,736,81,4,78,01,07,"A","W",037,5,4,59,"A"
434,20,4,09,43,45,4,411,25,4,73,45,18,"N","E",159,12,5,033,"N"
443,22,06,12,84,72,5,0679,805,63,712,799,050,"N","W",016,9,5,523,"N"
831,073,79,20,20,81,4,0398,786,81,083,052,001,"A","E",034,794,06,028,"A"
789,53,9,79,44,09,4,549,023,02,93,28,45,"A","W",489,47,9,042,"A"
73,0,3,3,3,3,7,10,6,7,5,2,1,"N","E",29,773,5,7072.444,"N"
421,61,8,45,75,57,2,0659,806,75,090,066,799,"N","W",285,51,08,928,"N"
700,14,03,75,48,46,4,169,005,01,86,88,29,"A","W",154,47,9,073,"A"
766,28,5,49,74,75,4,893,053,9,20,44,11,"N","E",707,0,7,013,"N"
825,052,9,96,16,82,1,977,747,06,047,94,26,"N","E",478,07,9,703,"N"
490,003,6,50,18,47,2,4308,941,13,180,716,059,"N","E",779,2,8,933,"N"
799,25,2,41,42,08,1,0511,139,05,069,073,004,"N","W",734,4,4,713,"N"
456,64,6,14,17,16,8,0789,474,81,090,022,082,"A","E",016,0,5,483,"A"
443,25,07,48,10,12,1,0452,475,88,052,069,052,"N","W",807,43,8,NA,"N"
812,042,7,89,12,07,7,0349,720,4,076,93,71,"A","W",750,186,77,028,"A"
827,087,09,038,16,58,7,629,716,45,059,60,030,"A","W",478,04,4,733,"A"
486,91,1,15,72,70,07,1667,0782,42,566,495,492,"N","W",080,9,8,NA,"N"
801,011,3,52,81,26,6,1246,0056,04,894,421,879,"N","E",776,184,08,0613,"N"
486,93,08,18,19,54,2,0164,486,50,025,737,028,"N","W",597,64,04,233,"N"
875,054,07,99,83,22,1,0885,123,49,718,052,021,"A","W",783,00,0,283,"A"
404,94,6,14,10,43,01,8998,0814,031,280,201,848,"N","W",89,010,74,183,"N"
813,048,43,97,99,88,0,813,048,43,97,99,88,"A","W",082,5,01,027,"A"
142,074,6,57,88,13,6,1046,0734,26,525,463,451,"A","E",97,023,08,0753,"A"
880,053,74,95,63,92,8,7748,537,28,729,479,724,"A","W",0771,008,00,NA,"A"
742,87,3,08,78,43,71,01384,1785,053,7058,0401,0855,"N","W",874,14,5,283,"N"
745,85,5,10,06,70,8,0782,476,71,055,078,038,"A","E",027,0,1,063,"A"
124,081,5,50,19,76,5,0655,855,76,783,787,029,"A","E",915,91,6,893,"A"
436,27,3,44,40,75,8,481,97,3,10,47,75,"N","E",002,756,07,043,"N"
720,22,8,48,76,44,07,1644,0489,19,543,148,134,"A","W",57,63,4,183,"A"
482,65,2,83,18,46,8,0461,411,14,029,067,045,"A","W",052,7,1,433,"A"
705,85,1,77,09,08,07,7265,558,14,755,431,069,"A","E",460,11,1,783,"A"
785,23,04,17,45,11,05,2389,0918,407,658,0079,663,"N","E",10,009,9,0383,"A"
155,039,44,28,95,27,4,587,017,11,037,036,037,"A","E",795,9,9,708,"A"
472,59,04,17,76,18,09,4616,646,29,149,493,155,"A","E",586,84,2,133,"A"
157,006,05,16,58,42,2,7040,894,56,711,799,083,"A","E",955,58,5,NA,"A"
410,003,6,18,16,15,6,7440,589,83,716,477,721,"A","E",780,6,1,853,"A"
539,053,79,043,21,96,9,1320,0097,034,957,102,239,"A","E",175,1,5,0523,"A"
106,030,09,58,89,67,73,6879,7803,819,0836,0586,0417,"A","W",3,3,3,192.8,"A"
44,5,3,7,1,2,0,44,5,3,7,1,2,"A","W",738,8,1,NA,"A"
425,97,70,17,53,48,8,0223,139,008,749,766,082,"A","W",3,3,3,178,"A"
195,018,00,80,25,13,00,4652,0037,52,103,162,791,"N","E",99,731,05,833,"A"
095,11,2,79,05,00,0,095,11,2,79,05,00,"N","W",66,4,0,NA,"N"
432,93,0,17,45,76,2,7170,585,09,426,069,091,"A","W",018,7,7,NA,"A"
715,25,8,48,46,04,5,607,741,07,037,65,93,"A","E",11,3,0,783,"A"
738,87,9,40,72,02,07,8041,0474,85,514,118,186,"A","E",088,4,7,133,"A"
419,63,00,83,18,14,03,7799,501,14,768,724,756,"A","E",53,025,5,183,"A"
874,048,9,87,11,87,6,4459,968,46,422,791,765,"N","W",452,128,06,283,"N"
407,59,7,47,77,71,0,407,59,7,47,77,71,"A","E",95,083,08,23,"A"
165,006,9,82,44,70,2,4489,997,45,458,793,058,"N","W",088,420,76,928,"N"
075,72,4,9,03,8,1,746,16,4,05,04,01,"N","E",063,7,6,063,"N"
728,59,8,17,17,50,5,650,749,05,079,031,027,"N","E",090,4,7,060,"N"
572,029,01,59,25,15,5,4015,637,21,161,418,717,"N","E",436,167,8,213,"N"
461,95,0,49,79,45,1,0396,752,4,61,20,25,"N","E",734,456,05,783,"N"
739,82,9,47,78,09,4,584,023,02,69,81,57,"N","E",17,61,04,013,"N"
497,030,05,83,88,77,0,497,030,05,83,88,77,"A","W",733,2,5,62.8,"A"
186,004,73,86,82,59,07,8419,0456,088,204,553,248,"A","W",3,3,3,213,"A"
816,016,2,24,12,17,0,816,016,2,24,12,17,"N","W",788,183,02,013,"N"
799,54,4,78,44,05,03,7597,552,49,408,786,731,"A","W",048,782,2,410.552,"A"
434,91,1,48,47,74,7,407,92,1,46,47,74,"N","W",026,8,4,NA,"N"
877,054,6,97,15,57,04,2342,7306,084,0314,972,848,"A","E",487,6,0,0333,"A"
807,002,76,81,99,14,5,0283,107,033,731,725,088,"A","W",0745,69,09,033,"A"
773,55,8,73,79,04,4,763,93,8,72,40,08,"A","W",790,70,4,63,"A"
877,013,05,24,22,53,1,243,098,77,64,035,95,"N","E",0473,055,02,733,"N"
150,007,09,81,81,48,7,593,053,71,25,28,16,"A","W",000,775,00,048,"A"
890,018,02,55,59,70,7,940,703,70,035,95,13,"N","E",473,158,47,088,"N"
843,086,4,97,83,12,5,0506,175,00,709,016,054,"A","W",065,481,08,128,"A"
882,017,70,89,90,74,09,9286,7894,720,0049,0766,129,"N","W",0053,84,2,0183,"N"
146,65,3,11,45,58,1,200,019,0,59,85,66,"N","E",776,135,77,083,"N"
184,034,9,84,44,87,7,832,074,9,54,46,89,"A","W",796,132,5,038,"A"
879,077,0,52,18,80,1,0205,134,07,700,015,088,"A","W",736,427,02,483,"A"
544,703,5,60,85,86,5,4323,927,06,173,743,721,"N","W",452,147,05,63,"N"
05,7,3,0,3,3,7,79,1,3,0,3,3,"A","E",712,1,9,NA,"A"
857,056,02,99,24,84,9,4090,910,50,183,417,424,"A","E",480,117,02,843,"A"
790,25,4,17,78,73,9,7589,582,19,471,433,026,"A","E",035,011,2,410.552,"A"
864,087,74,56,28,84,5,7258,595,044,456,491,470,"A","W",408,03,5,613,"A"
592,704,03,60,58,72,1,0809,119,08,065,042,96,"A","E",761,118,04,483,"A"
459,034,4,19,79,81,9,0962,164,6,732,057,069,"N","W",736,715,4,475.552,"N"
754,23,0,75,74,43,1,999,773,6,94,97,95,"N","E",90,012,1,783,"N"
517,700,01,032,86,87,8,7451,223,72,487,743,064,"N","W",442,06,1,213,"N"
758,59,9,75,43,76,2,0442,446,47,048,054,079,"N","W",67,8,4,178,"A"
796,54,2,45,10,11,02,2137,0681,068,0008,606,0084,"A","W",055,700,2,NA,"A"
886,010,7,19,50,24,9,4057,921,05,170,416,486,"N","E",487,101,6,678,"N"
873,073,02,84,11,70,1,672,772,77,035,93,87,"A","W",23,011,00,098,"A"
06,1,0,7,4,0,0,06,1,0,7,4,0,"N","W",567,23,9,673,"A"
738,14,7,71,02,73,2,981,706,07,038,66,20,"N","E",040,5,0,795.552,"N"
064,12,03,70,76,71,5,0045,785,17,076,046,035,"A","W",766,04,8,718,"A"
090,15,0,06,09,02,8,642,749,6,99,68,031,"A","E",42,69,6,NA,"A"
704,50,1,02,77,4,02,1350,0018,94,199,160,711,"A","W",029,18,1,748,"A"
803,012,03,85,87,84,2,7927,970,54,432,413,021,"N","E",903,66,09,0083,"N"
829,049,0,85,86,41,4,0466,482,2,016,050,92,"N","E",044,420,73,053,"N"
733,80,7,01,76,78,74,6229,7247,426,0727,0587,678,"N","W",469,76,2,NA,"N"
110,004,8,25,87,25,8,0815,462,02,775,016,060,"A","W",053,763,00,178,"A"
027,17,4,02,01,08,03,1395,0083,82,826,454,135,"N","W",58,3,3,633,"N"
893,061,6,60,57,29,9,4427,0379,19,531,401,156,"N","E",723,04,5,NA,"N"
072,47,1,01,78,07,06,9465,7137,717,0319,0419,906,"N","W",052,09,5,833,"N"
726,56,1,48,40,47,1,0486,488,40,093,019,089,"N","E",044,024,6,722.8,"N"
193,007,09,83,20,11,2,4340,220,003,449,135,746,"N","E",61,723,05,283,"N"
