Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
33,73,RL,23,00733,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,8,0658,0658,Hip,CompShg,HdBoard,HdBoard,None,3,TA,TA,CBlock,TA,TA,No,Rec,635,Unf,3,041,0313,GasA,Ex,Y,SBrkr,0313,3,3,0313,0,3,0,3,4,0,TA,8,Typ,3,NA,Detchd,0658,Unf,0,491,TA,TA,Y,3,3,3,3,3,3,NA,NA,NA,3,7,7339,WD,Normal,325944
32,53,RL,98,00671,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,6,8,7338,7335,Hip,CompShg,WdShing,Persona2,Stone,795,Ex,TA,PConc,Ex,TA,No,GLQ,669,Unf,3,022,0028,GasA,Ex,Y,SBrkr,0097,0017,3,7471,0,3,4,3,1,0,Ex,00,Typ,7,Gd,BuiltIn,7338,Fin,4,245,TA,TA,Y,012,70,3,3,3,3,NA,NA,NA,3,2,7335,New,Partial,109444
31,73,RL,NA,07659,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,5,0657,0657,Hip,CompShg,HdBoard,Plywood,None,3,TA,TA,CBlock,TA,TA,No,ALQ,242,Unf,3,028,607,GasA,TA,Y,SBrkr,607,3,3,607,0,3,0,3,7,0,TA,1,Typ,3,NA,Detchd,0657,Unf,0,487,TA,TA,Y,013,3,3,3,025,3,NA,NA,NA,3,6,7339,WD,Normal,300444
30,73,RL,60,03587,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,2,8,7335,7332,Gable,CompShg,VinylSd,VinylSd,Stone,435,Gd,TA,PConc,Gd,TA,Av,Unf,3,Unf,3,0161,0161,GasA,Ex,Y,SBrkr,0161,3,3,0161,3,3,7,3,4,0,Gd,2,Typ,0,Gd,Attchd,7335,RFn,4,913,TA,TA,Y,053,44,3,3,3,3,NA,NA,NA,3,9,7332,New,Partial,275944
39,73,RL,NA,03673,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,0653,0653,Hip,CompShg,MetalSd,MetalSd,BrkFace,707,TA,TA,CBlock,TA,TA,No,BLQ,244,Unf,3,873,0784,GasA,TA,Y,SBrkr,0784,3,3,0784,0,3,0,0,7,0,TA,8,Typ,0,Fa,Attchd,0653,RFn,0,487,TA,TA,Y,3,704,025,3,3,3,NA,GdWo,NA,3,8,7339,WD,Normal,397444
38,18,RM,80,5073,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,0.5Unf,2,9,0676,7330,Gable,CompShg,Persona1,Persona1,None,3,TA,TA,BrkTil,TA,TA,No,Unf,3,Unf,3,947,947,GasA,Ex,Y,FuseA,981,3,3,981,3,3,0,3,7,0,TA,8,Typ,3,NA,Detchd,0660,Unf,7,825,TA,TA,Y,19,007,3,3,3,3,NA,GdPrv,NA,3,2,7332,WD,Normal,312444
37,73,RL,NA,00710,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,2,0623,0623,Gable,CompShg,Persona1,Persona1,BrkFace,093,TA,TA,CBlock,TA,TA,No,ALQ,829,Unf,3,175,0331,GasA,Ex,Y,SBrkr,0331,3,3,0331,0,3,0,3,7,0,TA,8,Typ,0,TA,Attchd,0623,Fin,7,193,TA,TA,Y,3,3,3,3,3,3,NA,NA,Shed,233,4,7303,WD,Normal,305444
36,63,RL,27,03260,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,1,8,0652,0652,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,Slab,NA,NA,NA,NA,3,NA,3,3,3,GasA,TA,Y,SBrkr,0765,3,3,0765,3,3,7,3,7,7,TA,5,Typ,3,NA,CarPort,0652,Unf,7,805,TA,TA,Y,3,3,3,3,3,3,NA,NA,Shed,833,03,7335,WD,Normal,54444
35,73,RL,55,04568,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,8,8,7331,7331,Gable,CompShg,VinylSd,VinylSd,None,3,TA,TA,PConc,TA,TA,No,GLQ,515,Unf,3,159,0001,GasA,Ex,Y,SBrkr,0001,3,3,0001,0,3,0,0,4,0,Gd,5,Typ,3,NA,Detchd,7331,Unf,7,825,TA,TA,Y,3,037,3,3,3,3,NA,NA,NA,3,5,7339,WD,Normal,395444
24,73,RL,23,2853,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,0689,0658,Hip,CompShg,BrkFace,Plywood,None,3,TA,TA,CBlock,TA,TA,No,LwQ,831,Unf,3,878,0376,GasA,TA,Y,SBrkr,0446,3,3,0446,3,3,0,3,4,0,TA,5,Min1,3,NA,Attchd,0689,Unf,0,761,TA,TA,Y,3,3,3,3,3,3,NA,MnPrv,NA,3,8,7336,COD,Abnorml,315444
23,53,RL,030,01708,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,8,7338,7335,Gable,CompShg,VinylSd,VinylSd,BrkFace,493,Gd,TA,PConc,Ex,TA,Av,Unf,3,Unf,3,0089,0089,GasA,Ex,Y,SBrkr,0089,0709,3,7425,3,3,4,0,1,0,Gd,6,Typ,0,Gd,BuiltIn,7338,RFn,4,984,TA,TA,Y,713,081,3,3,3,3,NA,NA,NA,3,00,7335,New,Partial,129144
22,18,RM,82,2116,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,0.5Unf,2,2,0643,0683,Gable,CompShg,Persona1,Persona1,None,3,TA,TA,PConc,TA,TA,No,Unf,3,Unf,3,542,542,GasA,Ex,Y,FuseF,0039,3,3,0039,3,3,0,3,4,0,Gd,5,Typ,0,Gd,Attchd,0643,Unf,0,793,TA,TA,N,3,3,738,3,3,3,NA,GdPrv,NA,3,5,7332,WD,Normal,315044
21,73,RL,28,6217,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,8,7337,7337,Hip,CompShg,VinylSd,VinylSd,BrkFace,790,Gd,TA,PConc,Gd,TA,No,Unf,3,Unf,3,0222,0222,GasA,Ex,Y,SBrkr,0268,3,3,0268,3,3,7,3,4,0,Gd,2,Typ,0,Gd,Attchd,7337,RFn,7,841,TA,TA,Y,020,086,3,3,3,3,NA,NA,NA,3,6,7339,WD,Normal,214444
20,073,RM,11,1771,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,8,2,0625,0625,Gable,CompShg,CemntBd,CmentBd,None,3,TA,TA,PConc,Gd,TA,No,GLQ,913,Unf,3,733,0313,GasA,TA,Y,SBrkr,0353,3,3,0353,0,3,0,3,4,0,TA,5,Typ,0,TA,Attchd,0625,Unf,7,827,TA,TA,Y,033,003,3,3,3,3,NA,NA,NA,3,5,7332,WD,Normal,325544
29,73,RL,NA,9715,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,9,0659,7330,Gable,CompShg,Plywood,Plywood,None,3,TA,Gd,CBlock,TA,TA,Mn,Rec,099,ALQ,559,731,0353,GasA,Ex,Y,SBrkr,0353,3,3,0353,0,3,0,3,4,0,Gd,5,Typ,0,TA,Attchd,0659,Unf,0,723,TA,TA,Y,135,63,3,3,3,3,NA,MnPrv,NA,3,8,7303,WD,Normal,390444
28,73,RL,003,01743,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,8,7332,7332,Gable,CompShg,VinylSd,VinylSd,Stone,513,Gd,TA,PConc,Gd,TA,No,Unf,3,Unf,3,0855,0855,GasA,Ex,Y,SBrkr,0533,3,3,0533,3,3,7,3,4,0,Gd,2,Typ,0,Gd,Attchd,7332,RFn,4,963,TA,TA,Y,3,85,3,3,3,3,NA,NA,NA,3,2,7336,WD,Normal,298144
27,73,RL,53,2733,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,2,0680,7333,Gable,CompShg,Persona1,Persona1,None,3,TA,TA,CBlock,TA,TA,Mn,BLQ,741,Rec,195,093,633,GasA,TA,Y,SBrkr,633,3,3,633,3,0,0,3,4,0,Gd,8,Typ,3,NA,Detchd,7338,Unf,7,825,TA,TA,Y,777,47,3,3,3,3,NA,NA,NA,3,8,7303,WD,Normal,310644
26,73,RL,69,00129,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,8,7332,7339,Gable,CompShg,VinylSd,VinylSd,Stone,733,Gd,TA,PConc,Ex,TA,No,GLQ,0709,Unf,3,195,0231,GasA,Ex,Y,SBrkr,0231,3,3,0231,0,3,7,3,4,0,Gd,2,Typ,0,Gd,Attchd,7339,RFn,4,227,TA,TA,Y,3,83,3,3,3,3,NA,NA,NA,3,8,7303,WD,Normal,148444
25,73,RL,12,05470,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,0682,0662,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,CBlock,TA,TA,Gd,BLQ,0722,Unf,3,732,0191,GasA,TA,Y,SBrkr,0533,3,3,0533,0,3,0,3,7,0,TA,5,Typ,7,Gd,Attchd,0682,RFn,0,406,TA,TA,Y,799,789,3,3,3,3,NA,NA,NA,3,07,7335,WD,Normal,247944
14,43,RM,53,5471,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,1,5,0672,0683,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,BrkTil,TA,TA,No,Unf,3,Unf,3,873,873,GasA,Fa,N,SBrkr,873,3,3,873,3,3,0,3,0,0,Fa,1,Typ,3,NA,Detchd,0673,Unf,0,713,Fa,TA,Y,16,3,92,3,3,3,NA,NA,NA,3,8,7339,WD,Normal,86944
13,23,C (all),83,9833,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,1,1,0673,0683,Gambrel,CompShg,BrkFace,BrkFace,None,3,TA,Fa,BrkTil,TA,TA,No,Unf,3,Unf,3,516,516,GasA,TA,N,SBrkr,516,559,3,0402,3,3,0,3,4,0,TA,5,Typ,3,NA,Detchd,0673,Unf,0,783,TA,Fa,N,3,81,027,3,3,3,NA,MnPrv,NA,3,2,7339,WD,Normal,04444
12,73,RL,NA,9811,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,5,0655,7335,Gable,CompShg,HdBoard,HdBoard,None,3,TA,TA,CBlock,TA,TA,No,Unf,3,Unf,3,0779,0779,GasA,Gd,Y,SBrkr,0779,3,3,0779,3,3,0,0,4,0,Gd,5,Typ,3,NA,Attchd,0655,Unf,0,720,TA,TA,Y,3,58,3,3,3,3,NA,MnPrv,NA,3,5,7339,WD,Normal,305194
11,73,RL,98,00316,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,8,7332,7332,Gable,CompShg,VinylSd,VinylSd,None,3,Gd,TA,PConc,Ex,TA,Av,Unf,3,Unf,3,0741,0741,GasA,Ex,Y,SBrkr,0741,3,3,0741,3,3,7,3,4,0,Gd,2,Typ,3,NA,Attchd,7332,RFn,7,191,TA,TA,Y,3,43,3,3,3,3,NA,NA,NA,3,0,7339,WD,Normal,375544
10,73,RL,23,03887,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,8,0686,0686,Hip,CompShg,BrkFace,BrkFace,None,3,TA,TA,CBlock,TA,TA,No,Rec,0309,Unf,3,493,0469,GasA,Gd,Y,SBrkr,0233,3,3,0233,3,0,0,0,1,0,Gd,5,Typ,0,Gd,Attchd,0686,RFn,7,112,TA,TA,Y,3,49,3,3,3,3,NA,NA,NA,3,1,7303,WD,Normal,389944
19,073,RL,53,2404,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6,8,7338,7338,Hip,CompShg,MetalSd,MetalSd,BrkFace,715,Ex,TA,PConc,Ex,TA,No,GLQ,0084,Unf,3,139,0850,GasA,Ex,Y,SBrkr,0850,3,3,0850,0,3,7,3,7,0,Ex,5,Typ,0,Gd,Attchd,7338,Fin,7,885,TA,TA,Y,734,12,3,3,3,3,NA,NA,NA,3,9,7332,WD,Normal,277944
18,53,RL,039,04109,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,8,7331,7338,Gable,CompShg,VinylSd,VinylSd,Stone,047,Gd,TA,PConc,Ex,TA,Av,Unf,3,Unf,3,0002,0002,GasA,Ex,Y,SBrkr,0047,0473,3,7187,3,3,4,0,1,0,Gd,6,Typ,0,Gd,BuiltIn,7331,Fin,4,560,TA,TA,Y,004,47,3,3,3,3,NA,NA,NA,3,6,7335,WD,Normal,145444
17,73,RL,007,03986,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,8,0661,0668,Gable,CompShg,VinylSd,VinylSd,None,3,TA,TA,PConc,Gd,TA,No,Unf,3,Unf,3,0362,0362,GasA,Ex,Y,SBrkr,0362,3,3,0362,3,3,0,0,4,0,TA,5,Typ,3,NA,Attchd,0668,Unf,7,527,TA,TA,Y,467,51,3,3,3,3,NA,NA,NA,3,5,7336,WD,Normal,309444
16,73,RL,21,9847,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,0681,0663,Hip,CompShg,Persona1,Persona1,BrkFace,583,TA,TA,CBlock,TA,TA,No,Rec,0704,Unf,3,91,0762,GasA,Gd,Y,SBrkr,0762,3,3,0762,3,0,0,3,4,0,TA,8,Typ,0,TA,Attchd,0681,Fin,7,169,TA,TA,Y,3,3,3,3,3,3,NA,NA,NA,3,03,7336,WD,Normal,391444
15,73,RL,59,2677,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,2,0684,7332,Gable,CompShg,VinylSd,VinylSd,None,3,TA,Gd,CBlock,TA,TA,No,GLQ,240,Unf,3,475,0382,GasA,TA,Y,SBrkr,0382,3,3,0382,0,3,0,3,4,0,Gd,8,Typ,3,NA,Detchd,0684,Unf,0,715,TA,TA,Y,3,87,3,3,3,3,NA,NA,NA,3,0,7303,WD,Abnorml,345444
04,63,RL,58,5313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,1,8,0688,0688,Gable,CompShg,AsbShng,Plywood,None,3,TA,TA,PConc,NA,NA,NA,NA,3,NA,3,3,3,GasA,TA,N,FuseP,0087,3,3,0087,3,3,7,3,7,7,Fa,5,Typ,3,NA,NA,NA,NA,3,3,NA,NA,N,3,3,3,3,3,3,NA,NA,NA,3,5,7339,WD,AdjLand,62444
03,73,RL,91,9589,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,0658,0658,Gable,CompShg,Persona1,Persona1,BrkFace,030,TA,TA,CBlock,TA,TA,No,Rec,514,Unf,3,118,0399,GasA,Ex,Y,SBrkr,0471,3,3,0471,3,3,7,3,4,0,TA,5,Typ,0,TA,Attchd,0658,RFn,7,113,TA,TA,Y,3,049,3,3,3,3,NA,GdWo,NA,3,07,7335,WD,Abnorml,384444
02,73,RL,008,05638,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,0686,0686,Gable,CompShg,VinylSd,VinylSd,None,3,TA,Gd,CBlock,TA,TA,Gd,BLQ,652,Unf,3,494,0483,GasA,Gd,Y,SBrkr,0479,3,3,0479,3,0,0,0,7,0,TA,8,Typ,7,Gd,Attchd,0686,RFn,0,439,TA,TA,P,3,031,3,3,3,3,NA,NA,NA,3,2,7332,WD,Normal,374444
01,98,RL,NA,6093,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,8,2,0694,0694,Gable,CompShg,HdBoard,HdBoard,None,3,TA,TA,CBlock,Gd,TA,Av,ALQ,212,LwQ,64,3,913,GasA,Gd,Y,SBrkr,991,3,3,991,0,3,0,3,7,0,Gd,8,Typ,3,NA,Attchd,0694,RFn,7,831,TA,Gd,Y,713,3,3,3,3,3,NA,MnPrv,NA,3,07,7332,WD,Normal,300444
00,73,RL,NA,6733,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,0628,0693,Hip,CompShg,VinylSd,VinylSd,None,3,TA,TA,CBlock,Gd,TA,Av,LwQ,793,BLQ,160,052,649,GasA,TA,Y,SBrkr,649,3,3,649,0,3,0,3,4,0,TA,8,Typ,3,NA,Detchd,0622,Unf,0,439,TA,TA,Y,018,3,3,3,3,3,NA,MnPrv,NA,3,2,7339,WD,Normal,314294
09,73,RL,23,2618,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8,5,0686,0686,Gable,CompShg,BrkFace,Persona1,None,3,TA,TA,CBlock,TA,TA,No,ALQ,026,BLQ,835,158,0083,GasA,Ex,Y,FuseA,0083,3,3,0083,0,3,0,3,4,0,TA,5,Typ,3,NA,Attchd,0686,RFn,0,433,TA,TA,Y,3,3,3,3,3,3,NA,NA,NA,3,8,7335,WD,Normal,303444
08,073,RL,50,2589,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6,8,7338,7338,Hip,CompShg,MetalSd,MetalSd,BrkFace,107,Ex,TA,PConc,Ex,TA,No,GLQ,185,Unf,3,0765,0287,GasA,Ex,Y,SBrkr,0287,3,3,0287,0,3,7,3,7,0,Ex,5,Typ,0,Gd,Attchd,7338,RFn,7,825,TA,TA,Y,065,97,3,3,3,3,NA,NA,NA,3,7,7303,WD,Normal,135544
07,83,RL,19,07977,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,0.5Fin,2,8,7334,7334,Gable,CompShg,VinylSd,VinylSd,None,3,Gd,TA,PConc,Ex,TA,No,GLQ,0480,Unf,3,94,0141,GasA,Ex,Y,SBrkr,0809,540,3,7016,0,3,0,0,0,0,Gd,5,Typ,0,Ex,Attchd,7334,RFn,7,523,TA,TA,Y,059,14,3,3,069,3,NA,NA,NA,3,9,7336,WD,Abnorml,215868
06,73,FV,91,00365,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,9,8,7335,7335,Gable,CompShg,VinylSd,VinylSd,None,3,Gd,TA,PConc,Gd,TA,Av,GLQ,71,Unf,3,0547,0585,GasA,Ex,Y,SBrkr,0585,3,3,0585,3,3,7,3,4,0,Gd,2,Typ,3,NA,Attchd,7335,RFn,4,975,TA,TA,Y,3,015,3,3,3,3,NA,NA,NA,3,2,7332,WD,Normal,205744
05,063,RM,44,1185,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,1,8,0673,7339,Gable,CompShg,MetalSd,MetalSd,None,3,TA,TA,BrkTil,TA,TA,No,Unf,3,Unf,3,245,245,GasA,Gd,Y,SBrkr,245,205,3,0187,3,3,7,3,7,4,TA,9,Typ,3,NA,NA,NA,NA,3,3,NA,NA,N,3,3,037,3,3,3,NA,NA,NA,3,5,7336,New,Partial,331444
94,73,RL,55,2217,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,2,0655,0655,Gable,CompShg,HdBoard,HdBoard,None,3,TA,TA,CBlock,TA,TA,No,BLQ,254,Unf,3,067,688,GasA,Ex,Y,SBrkr,688,3,3,688,0,3,0,3,4,0,TA,5,Typ,3,NA,Attchd,0655,Unf,0,495,TA,TA,Y,3,3,3,3,3,3,NA,MnPrv,NA,3,0,7332,WD,Normal,327444
